rank,trader,roi,pnl,pnl_clean,vol,vol_clean,net
1,0x277C54A2907cCF7B9Af66104377694A624B3F6F3,966.8907320057069,10461683.508889657,10461683.508889657,33738435.55673784,33738435.55673784,11228367.010409663
2,0x17c9d33F6bF18cCa32f21a1A6cB2F49aCaC8B30D,724.0029872287134,4763.457171650674,4763.457171650674,11529.608495881612,11529.608495881612,
3,0x2F8EB06c311214707f83461cC77646c9Aef9985f,670.4058230704442,651.9907256943726,651.9907256943726,1448.4395232484867,1448.4395232484867,
4,0xef7ad5c1b7F18382176BCA305256b3766cE86007,647.215436233613,94.95756758684252,94.95756758684252,231.0214912836064,231.0214912836064,
5,0x99Bf19dcA2125B789Cfe8A9609C1A217b4E5c918,614.618012080288,2925.196519897499,2925.196519897499,16054.402354524653,16054.402354524653,
6,0xc7FEe04d1E2c49D687121ff01CD48F17926b6DA5,522.8966265000445,34478.0906229538,34478.0906229538,160499.65042101705,160499.65042101705,111.44005225742376
7,0x4e48EDb00147300dB752163E34412d97CC4AdC13,512.1451174206878,23397.149450797693,23397.149450797693,15608.105035552053,15608.105035552053,27965.610352784333
8,0xa9D6333E01d61782456E41033f838AB8e7E1f458,478.9886900024792,24696.719807372236,24696.719807372236,56292.778599953206,56292.778599953206,
9,0x6A1aCC5c4aC255Fc2591A9E54E265E2a1E9697c4,424.80119455568143,82675.4813809379,82675.4813809379,260845.39108929527,260845.39108929527,
10,0xE7b27BD74F522afa05732ba82B2F46A38D4Be098,400.6805583987105,3011.5310413005686,3011.5310413005686,9538.933960328088,9538.933960328088,
11,0x0870f02262CbfcD153cEED47E63aec55d9B45E73,346.12926486621024,6399.63811394236,6399.63811394236,5633.1307366118235,5633.1307366118235,8248.553754293089
12,0x7eA23185A79895fE4717d050Ae18AcA6da1934DC,318.18162877933065,8409.517974548458,8409.517974548458,15561.181599174126,15561.181599174126,4952.264010173524
13,0xBfe4c9D3235475C138a61f62e9e72FaD94A3303b,314.59928363433033,2764.7076233447515,2764.7076233447515,7196.089010726878,7196.089010726878,3609.8870520579153
14,0x42981D0A20f17971F72dd31a6160A83f60D0f9Ab,311.04681952143056,3376.8258499057683,3376.8258499057683,9696.87035850041,9696.87035850041,
15,0xdee12b0DA2Fe75F5EFA4B0A263B0a407eA90D6c8,309.62251320708043,46711.865504274436,46711.865504274436,30477.096414194802,30477.096414194802,61798.5802978569
16,0x6C4e530428d225e94DFA59CCaC1767295fef3F1c,307.3915753541246,29127.918356605936,29127.918356605936,20477.3571828432,20477.3571828432,38603.75331501352
17,0x774bB9306DF1cd921eb842b1388c78f75e6Ef79F,305.24713294919457,2458801.5864072638,2458801.5864072638,18187056.0780047,18187056.0780047,1797645.361009686
18,0xB4e059EBC6BefEF5F815c712832b5FA2C854ab76,304.6686006178221,12017.689769734832,12017.689769734832,20151.75341835828,20151.75341835828,8168.780294906919
19,0xb657fC66899531521ce38DcFCae8A0623Ec0590F,298.38753405252606,16324.329901121055,16324.329901121055,76526.85478095929,76526.85478095929,14482.47462653838
20,0x550DFb94014bf285FDF0B4285845F7e47D946cEf,295.1879767956883,39231.88330082724,39231.88330082724,120728.61354685563,120728.61354685563,
21,0x018Bc6AA4F545b0f83019062B203dA85b7392c7B,293.245792342661,17041.788573443337,17041.788573443337,20277.590834485603,20277.590834485603,22826.07542030589
22,0x84338720A4B2347c9f101745b5D79Ce84e7FB227,290.0679531067982,10841.420689126026,10841.420689126026,25915.207199466447,25915.207199466447,
23,0x311e3CaEDeACd3D78591a22f6ec9A289C9de4Ee6,282.9947268433556,5566.520052244648,5566.520052244648,13101.863205891605,13101.863205891605,
24,0xDA28419a5d8563663F8B5b8d578Ec2670947dddf,281.0818374925192,33039.78987279031,33039.78987279031,40113.54258850644,40113.54258850644,44794.29886829581
25,0x8c0ef417bcE72956f4C3CE1e8496C8bd886Dd9cE,276.78944931671356,9501.603198554436,9501.603198554436,28237.112036801806,28237.112036801806,346.6950883904839
26,0x43FE158034af393f37c89486E2deA0993a5A411F,275.67211419630524,807.0225102821031,807.0225102821031,894.4884244377245,894.4884244377245,1099.7697519227374
27,0xeAdc985f23C7628773f3e272F313ff52bB94B692,271.0304521202377,2370.2934838540996,2370.2934838540996,10978.157571848236,10978.157571848236,
28,0xFc31B0ff1D02E292f73dB05Dbf976653EE217da0,269.7345737979097,181.30286144486888,181.30286144486888,693.6314707459019,693.6314707459019,
29,0x71a51e2868D4e52f49CD9D23C2e23c4A3835Cba1,268.0037131975227,122243.47797362541,122243.47797362541,474317.43724541576,474317.43724541576,
30,0xcA66E974176356F2e85e89b4d048916899b3aFfc,267.13541469059726,222627.43531191527,222627.43531191527,2430897.588720376,2430897.588720376,
31,0xE5c8d67B2010574b70b6bc9E6c00D4952aBDB498,260.4454632171292,12775.946204001508,12775.946204001508,42641.35071234291,42641.35071234291,
32,0xec6e22B0B75Cb923C4E0B3269040596f8b24B4c6,251.14578636504314,1366.8206967970018,1366.8206967970018,987.1447905999547,987.1447905999547,1911.0546720428829
33,0x2E2aFAFbeEaA08d6883dCdEBEe84A2d623a9CEee,247.8934679187029,9480.204906614525,9480.204906614525,50156.110893653,50156.110893653,
34,0xe1511557F79Ac9e394c0c23a0d88CEEE87dee141,240.58701374614196,66861.31507998896,66861.31507998896,1403892.1047705421,1403892.1047705421,20118.255644778787
